x,c05,observed_z05,m0_local,m1_local_lzeros,m2_local_lzeros_cross,split
1365,-1224.1551755733717,-0.024273784722987555,-0.02419551644785244,-0.024381875793530034,-0.02437783499473822,discovery
1377,-1239.1338970831148,-0.024250311807694696,-0.02412917095603236,-0.024357098408655253,-0.02435323649101493,discovery
1389,-1254.1786262715973,-0.024227356318394854,-0.02406351765413724,-0.024333028411916726,-0.024329291981069846,discovery
1401,-1269.304454919521,-0.024205195872931462,-0.023998543860520777,-0.024309524489819476,-0.024305894509676348,discovery
1413,-1284.4883471393448,-0.02418337586938913,-0.02393423722526806,-0.024286382151845465,-0.024283157354390822,discovery
1425,-1299.7444964498823,-0.024162156371439734,-0.023870585718951606,-0.024263345992198815,-0.024260957947292737,discovery
1438,-1316.3220607884937,-0.0241392532377219,-0.023802355629780163,-0.02423822352571803,-0.02423708761629648,discovery
1450,-1331.6421911170928,-0.02411768082221936,-0.023740031680943324,-0.02421468166412255,-0.02421481698292303,discovery
1463,-1348.2628418747943,-0.024093953971496093,-0.02367321331699665,-0.02418865169073262,-0.024190065315511617,discovery
1476,-1364.862346874555,-0.024069070367153434,-0.023607108777444014,-0.024161941033345367,-0.024164519258655603,discovery
1488,-1380.1881148918999,-0.02404550411263351,-0.023546711195829313,-0.02413652486188975,-0.024140131457385233,discovery
1501,-1396.74398699757,-0.02401849395033174,-0.023481942094419405,-0.024107948152521916,-0.024112503040502144,discovery
1514,-1413.2593377419182,-0.023990154830771215,-0.023417848697619446,-0.02407804352292799,-0.024083242315812207,discovery
1527,-1429.6918602261537,-0.023959838643885657,-0.023354418636002013,-0.024046580734458166,-0.024051975091178162,discovery
1541,-1447.2461970789846,-0.023924256995084558,-0.023286837364967426,-0.02401072041535799,-0.024015603371252456,discovery
1554,-1463.4287951850447,-0.023888840704145497,-0.023224746866602905,-0.023975378017543965,-0.023979203755763935,discovery
1568,-1480.7096011039218,-0.023847936404623973,-0.023158581342490644,-0.023934892865904323,-0.023937378906513193,discovery
1581,-1496.64033134675,-0.023807820499034564,-0.023097781179924632,-0.023894866731200674,-0.023896104445343742,discovery
1595,-1513.6066064750771,-0.023761397715753873,-0.023032979791568004,-0.023848980090408662,-0.023848770610950823,discovery
1609,-1530.4037621679777,-0.023712205958430776,-0.02296886630183502,-0.023800074788861775,-0.02379847896038568,discovery
1623,-1547.0358097637109,-0.02366042747714665,-0.02290542790602665,-0.023748026154449108,-0.02374563509535972,discovery
1637,-1563.5243184149476,-0.02360650107870518,-0.022842652139556947,-0.023692721414225883,-0.023690367845417015,discovery
1651,-1579.8159690616005,-0.023549727683487755,-0.02278052686624995,-0.02363409543247965,-0.023632349148257178,discovery
1665,-1595.8828437345235,-0.023489817855100476,-0.022719040267129727,-0.023572178446389345,-0.02357127817834779,discovery
1680,-1612.8588789739108,-0.023422456810213228,-0.022653857427408053,-0.023502351968626007,-0.02350245218182178,discovery
1694,-1628.471251125795,-0.023356619566092064,-0.02259365750979277,-0.02343416864202798,-0.023435179427874323,discovery
